weight,quality,color,price,length,width,depth
1.03,Premium,G,6214,6.38,6.42,3.99
0.5,Fair,D,1323,5.01,4.97,3.28
1.74,Very Good,H,10086,7.65,7.78,4.79
0.51,Ideal,D,1882,5.18,5.16,3.16
0.7,Ideal,H,2294,5.64,5.69,3.54
0.71,Ideal,H,3190,5.71,5.75,3.55
0.32,Very Good,E,672,4.36,4.33,2.75
0.9,Fair,G,1939,6.05,5.99,3.92
0.32,Ideal,G,708,4.42,4.44,2.73
1.52,Premium,G,12958,7.39,7.28,4.59
0.7,Premium,E,2394,5.81,5.79,3.46
2.12,Ideal,D,12707,8.17,8.14,5.13
0.4,Premium,F,945,4.74,4.71,2.89
0.33,Premium,E,743,4.55,4.49,2.72
1.02,Ideal,I,3856,6.57,6.54,3.98
0.54,Ideal,G,1985,5.23,5.25,3.24
1,Fair,G,5484,6.2,6.13,4.17
0.58,Ideal,D,3154,5.34,5.35,3.29
1.16,Ideal,G,7128,6.86,6.81,4.15
0.72,Very Good,E,2376,5.66,5.61,3.58
0.52,Premium,D,1919,5.2,5.16,3.17
0.4,Ideal,D,982,4.71,4.77,2.92
0.33,Ideal,G,868,4.45,4.46,2.74
0.75,Good,E,2702,5.78,5.81,3.61
0.42,Ideal,E,898,4.8,4.77,3.01
0.44,Very Good,H,1016,4.83,4.87,3.06
0.31,Premium,H,698,4.32,4.3,2.7
0.3,Ideal,E,778,4.3,4.28,2.68
1.35,Premium,J,6254,7.19,7.12,4.33
1.08,Premium,G,4318,6.64,6.61,4.02
0.7,Ideal,I,2436,5.67,5.72,3.52
0.31,Ideal,I,537,4.35,4.29,2.7
0.4,Ideal,E,975,4.74,4.71,2.95
0.61,Premium,F,1359,5.47,5.43,3.29
0.7,Very Good,D,2960,5.61,5.69,3.56
1.51,Good,E,14709,7.22,7.28,4.54
0.57,Premium,J,1176,5.4,5.33,3.23
1.14,Good,I,5056,6.6,6.68,4.2
1.5,Good,H,6846,7.27,7.2,4.4
1.07,Very Good,H,5254,6.57,6.63,4.06
1.01,Good,F,4276,6.33,6.31,4.06
1.24,Ideal,G,10395,6.88,6.92,4.24
1.23,Ideal,F,10342,6.84,6.87,4.28
1.12,Ideal,D,8430,6.66,6.63,4.12
1.02,Premium,G,4370,6.42,6.37,4
1.02,Premium,F,4238,6.52,6.48,3.91
1.01,Good,G,5277,6.45,6.49,3.87
1.5,Ideal,F,13653,7.43,7.39,4.46
1.04,Ideal,H,5805,6.56,6.61,4
0.5,Premium,D,1752,5.08,5.12,3.12
0.71,Very Good,E,3192,5.65,5.71,3.53
2.01,Premium,F,11903,7.88,7.82,4.87
0.51,Ideal,I,1376,5.1,5.13,3.17
1,Premium,E,4077,6.44,6.39,3.79
0.33,Ideal,E,723,4.37,4.42,2.75
1.5,Fair,H,4939,7.07,7.02,4.63
1.01,Ideal,G,4129,6.52,6.46,3.99
0.29,Ideal,F,496,4.31,4.37,2.63
0.57,Ideal,E,1949,5.33,5.29,3.28
1.21,Ideal,F,8629,6.79,6.84,4.24
0.43,Ideal,I,916,4.86,4.9,2.98
0.72,Ideal,F,3759,5.75,5.79,3.54
1.54,Premium,I,8969,7.48,7.41,4.53
1.21,Premium,H,5948,6.75,6.72,4.21
0.54,Ideal,H,1454,5.25,5.31,3.23
1.71,Premium,H,12338,7.62,7.53,4.76
0.5,Premium,F,1433,5.13,5.03,3.08
0.41,Ideal,F,1439,4.78,4.82,2.99
0.42,Ideal,D,1350,4.8,4.76,2.98
2.02,Very Good,J,11757,8.27,8.39,4.91
0.42,Very Good,F,1154,4.75,4.81,3.01
0.3,Premium,E,844,4.31,4.27,2.66
0.28,Very Good,G,382,4.2,4.25,2.62
0.23,Very Good,E,402,4.01,4.06,2.4
2.08,Premium,H,14462,8.39,8.35,4.92
1.36,Premium,H,5103,7.23,7.18,4.38
1.53,Premium,G,8799,7.49,7.43,4.57
0.44,Ideal,G,813,4.92,4.94,3.01
1.01,Ideal,D,7792,6.39,6.36,4
0.71,Premium,D,3952,5.89,5.81,3.44
1.01,Premium,E,5430,6.38,6.35,3.97
0.42,Premium,G,921,4.79,4.85,2.93
2,Good,D,10528,7.93,7.88,5.04
0.51,Ideal,I,1316,5.09,5.12,3.19
0.91,Fair,D,3855,6.08,6.04,3.9
2,Premium,F,11413,8.03,7.95,4.92
0.71,Good,E,2606,5.66,5.72,3.63
0.62,Premium,G,1933,5.55,5.58,3.33
0.7,Premium,I,1890,5.68,5.64,3.53
1.28,Premium,H,4588,6.97,6.89,4.34
0.59,Ideal,D,4161,5.45,5.49,3.32
0.31,Ideal,G,891,4.35,4.4,2.72
1.04,Very Good,F,7534,6.44,6.41,4.06
0.38,Premium,H,898,4.7,4.68,2.84
1.01,Very Good,G,6905,6.3,6.35,4.02
1.2,Premium,J,4717,6.89,6.84,4.12
0.4,Ideal,D,1279,4.65,4.68,2.93
1.08,Premium,I,3750,6.75,6.69,4.04
2.02,Premium,J,13687,8.06,8.08,5
2.02,Ideal,G,18296,8.16,8.1,5.04
